ID,question,catergory,concern,For(cleint/student) ,answers(responses),final category,final questions
1,job offer negotiation chat,job,offer/negotation,carrer advisor,,,
2,"how can I become a registered teacher in NZ ,what are my alternative options if I don’t the meet the reqirements",Career Guidance,Registration eligibility,carrer advisor,,,
3, can you participate in a 45 minute reasearch interview for my master's thesis and share your insights ?,Research Request,Research Participation,carrer advisor,,,
4,"cam career employability connect me with aquaculture companies in London, Australia, or New zealand?",job search,Job connections,carrer advisor,,,
5,"can my 10 Parkun events count toward mu EPA ?if yes , what is the process?",EPA/Woek place Skills,EPA eligibilty,carrer advisor/Employability staff,,,
6,"I booked and appointment with nima at 1:00 pm,but room M 2:09 is closed.where should I go or should I wait outside",appointment Issue,Appointment Location Problem,carrer advisor/front desk support,,,
7,I tried to drop -in my session for my cv but its not working .what can I do?,appointment Issue,Unable to book appointent,carrer advisor,,,
8,where are the job oppurtunities for someone who has completed a master's a master's in chemist?,Job oppurtunities,chemistry career options,career Adviosr,,,
9,I booked an appointment at 10 am. Can I do it online,Appointment ,change of appointment to online ,career Adviosr/front desk,,,
10,I'm struggling to find full time work in my degree field.can you help me figure out job options with my social science and psychology background?,Job search,Finding job options with psychology degree,career Advisor,,,
11,"can I find a job in ECE or can I volunterr in ECE ,or can I volunteer in ECE ?",Job Search,ECE job/Volunteer eligibility,career Advisor,,,
12,I'm an online student studying screen and media. What's the best way to find jobs and make connections in the industry,Job search& networking,Finding jobs in the industry connections,Career Advisor,,,
13,Are you at the Waikato unversityTauranga campus tomorrow( Friday the 3rd)?,career Help ,Advisor availability,Career Advisor ,,,
14,I already prepared my cv and I want some feedback.what should I do?,CV help,getting CV feedback,Career Advisor,,,
15,I would like to get my CV reviewed again after making the recommended changes.,CV help,second CV review,Career Advisor,,,
16,I got my teacher registration and I'm working as a reliever. I want to get my CV and cover letter checked so I can apply for permanent teaching positions.how can I book an appointment during the school,Appointment,Booking appointment for cv & cover letter help,Career Advisor,,,
17,"I am studying Finance with a minor in Economics and Business Analytics .I found Zespri ""summer intern-biosecurity "" role for my WSAFE396 internship.The description says economic/business is accepted,but I'm unsure because the role is called biosecurity.Is this is called biosecurity.Is this intership eligible for my WL programme?",Intership,Intership Eligibility,Career Advisor,,,
18,"I got an email for a nursing interview.can you help me prepare,and can I book one-on-one session?",Interview Preparation,Preparing for nursing interview,career Advisor,,,
19,"Does nima rinni have a waikato email? I want help making my CV and cover letter shine,but none of the booking times suit me.can I do the appointment online or receive written feedback?",CV help,CV help with flexible options,Career Advisor,,,
20,"I accidentally put my community Volunteering under the university involvement section.Do I need to redo my submission,or can it be moved to the correct section?",EPA/ Submission Issue,Wrong EPA category submission,Career Advisor,,,
21,"I'm in my first year of an LLB and I'm looking for a summer intership or casual/temporary job,preferably online through the University of Waikato. ARE there any roles available from November to February/March? ",Summer Intership/Vacancy,Finding summer intership or remote vacancy,Career Advisor,,,
22,"Do I need to submit a general cover letter Iin MyWIL  for the Intership prgramme, orshould I write a separate Cover letter for each of my referance?",Intership / Cover Letter,Cover letter requiments for WIL intership,career Advisor,,,
23,Can I get my CV reviewed ?,CV help,CV review request,career Advisor,,,
24,How do I join a voluntary oppurtunity ?,Employability & careers,how to join voluntary oppurtunities,Career Advisor,,,
25,I hve an internship what do I do now,Internship(WIL396),Next Steps after getting an intership,Career Advisor,,,
26,How do I add points ?,Community Involvement,How to add EPA points ,Career Advisor/empolyability staff,,,
27,How can I find a job or a part-time job?,Job search,how tro find job/part - time work,Career Advisor,,,
28,I've been trying to secure a job for almost 6 months.Can I get help from the the university to find a job?,Job search,struggling to find a job,Career Advisor,,,
29,I’m applying for a role with a deadline of 19 August. Can I arrange an online appointment to get my CV and cover letter reviewed?,CV & Cover Letter Review,CV & Cover Letter Review,Career Advisor,,,
30,I’m a third-year nursing student applying for ACE. I got feedback on my CV but didn’t receive any feedback on my cover letter. Can I get advice on it?,Cover Letter Help,Missing feedback on cover letter,Career Advisor,,,
31,"The WIL team told us to get our CV reviewed by Careers, but we can’t get it reviewed. Where do we go to get a second opinion on our CV?",CV Review,Finding correct place for CV review,Career Advisor,,,
32,I attended the CV writing workshops last year. Can I book a face-to-face consultation?,CV Help,Booking face-to-face consultation,Career Advisor,,,
33,I would like my CV reviewed so I can apply for an internship.,CV Help,CV review for internship,Career Advisor,,,
34,Please help me update my CV.,CV Help,Updating CV,Career Advisor,,,
35,Can you confirm if I successfully booked my appointment at 10:00 AM at the Hamilton Campus Drop-ins?,Appointment,Confirming appointment details,Career Advisor,,,
36,I’m a third-year nursing student preparing for ACE. Can I get advice to improve my CV and cover letters?,CV & Cover Letter Help,Improving CV and cover letters,Career Advisor,,,
37,"I joined an online Teams meeting and was inducted, but I still cannot upload my service made. What should I do?",Adding My Community Commitment,Unable to upload service activity,Career Advisor,,,
38,Can I find a part-time job?,Job Search,Finding part-time work,Career Advisor,,,
39,I’m a nursing student with two CV versions. Can you review them and help me prepare for ED job applications?,CV Help,CV review for ED roles,Career Advisor,,,
40,How can I get the Employability Plus Award certificate after earning enough points for the Gold award?,EPA,Getting EPA certificate,Career Advisor,,,
41,I’m studying Master of Digital Business and looking for a part-time role at the university. Can you help?,Job Search,Finding part-time university job,Career Advisor,,,
42,"I want CV and cover letter help. For the drop-in session on 31/7/25, can I come anytime between 10:00 and 12:00?",Drop-in Appointment,Understanding drop-in timing,Career Advisor,,,
43,Should I add the papers I’m enjoying and what I’ve been learning in them to my cover letter?,Cover Letter,What to include in a cover letter,Career Advisor,,,
44,I have uploaded my CV as requested. Can you confirm you received it?,CV Help,Confirmation of CV upload,Career Advisor,,,
45,I booked a career appointment at 10 tomorrow with Nima. Is it online or face-to-face?,Appointment,Clarifying appointment format,Career Advisor,,,
46,I’m a second-year civil engineering student applying for a summer internship. Can you review my CV and cover letter and give feedback?,CV Review,Improving CV and cover letter for internship,Career Advisor,,,
47,I worked in the Careers team in 2019 and lost contact with my supervisors Kelly and Gina. Can I get help finding a referee?,Volunteer Experience / Referee Help,Finding referee contact,Career Advisor,,,
48,Could you please give me some feedback on this cover letter?,Cover Letter Help,Getting feedback on cover letter,Career Advisor,,,
49,"For the cover letter information like my name, address, date, and the recipient’s details , should this go in the header?",Cover Letter,Formatting a cover letter,Career Advisor,,,
50,"If a company has multiple locations, which address should I use on my cover letter when the main office isn’t clear?",Cover Letter,Selecting correct address for cover letter,Career Advisor,,,
51,Do student learning workshops count for employability skills points?,EPA Points,Whether workshops count for EPA,Career Advisor,,,
52,Are there more online introduction classes available? I can’t attend the one today at 12–1pm.,Introduction Session,Finding alternative introduction class,Career Advisor,,,
53,I have an article written about me. Should I put the full URL on my CV or use the title linked to the URL?,CV Help,How to include article on CV,Career Advisor,,,
54,"I booked an appointment with Heather for 18 July at 11am, but I can’t attend in person. Can this appointment be done online?",Appointment,Confirming online appointment option,Career Advisor,,,
55,I’m considering taking a Diploma of Social Sciences or a Diploma of Arts after finishing my BSc(Hons). Which option is better for employment and signalling to employers?,Job & Qualification Options,Choosing qualification with best job prospects,Career Advisor,,,
56,Do you have any example cover letters?,Cover Letter,Finding cover letter examples,Career Advisor,,,
57,"When companies ask for my academic transcript, can I upload a screenshot of my grades or does it need to be a formal version?",Academic Transcript,Correct format for transcript submission,Career Advisor,,,
58,How do I log the hours I spend volunteering? Is that something I can record?,Volunteer Hours,How to record volunteer hours,Career Advisor,,,
59,I’ve attended two drop-in sessions with the Careers and Employability team. Do these count for EPA points?,EPA Points,Whether drop-ins count for EPA,Career Advisor,,,
60,How can I check if my CV is ATS-friendly?,CV – ATS Check,Checking ATS compatibility,Career Advisor,,,
61,How can I check if my CV follows New Zealand standards?,CV Help,Making sure CV meets NZ standards,Career Advisor,,,
62,Can I speak to someone for careers advice?,Careers Advice,Speaking directly to someone,Career Advisor,,,
63,Please review my CV. I can’t find the page to upload it for review.,CV Review,Unable to upload CV for review,Career Advisor/front desk support,,,
64,"The WIL page says to upload my CV to CV360 and get over 60% before uploading it to Sonia, but I can’t find where to upload it. Where is the CV360 tool, or is it no longer available?",CV360,Finding where to upload CV to CV360,Career Advisor,,,
65,"I need to upload my draft CV and cover letter for the LinkedIn Workshop, but I can’t find the upload option on mycareer.waikato.ac.nz. Can you help?",Workshop / CV,Cannot find upload option,Career Advisor,,,
66,I can’t find the CV360 tool on the page. Where do I access it?,CV / CV360,Locating CV360,Career Advisor,,,
67,Do the EPA induction and Language Buddy training count for EPA points? Do I need to fill out the EPA involvement form?,EPA Points,Points eligibility & process,Career Advisor,,,
68,I’ve updated the university participation form.,University Participation,Updated record,Career Advisor,,,
69,"How do I start looking for summer internships, and when is the right time to apply?",Internships,Timing & how to begin applying,Career Advisor,,,
70,Can I book a one-on-one CV review at the Hamilton campus?,CV Help / General Enquiry,How to book a CV review appointment,Career Advisor/front desk support,,,
71,I attended the Online Interview workshop but my participation wasn’t recorded. I added my name and student ID in the chat. Can this be fixed?,Applications & Interviews / Workshop,Attendance not recorded,Career Advisor,,,
72,I can’t find the CV360 link. Where can I access it?,CV360 / Internship,Locating CV360 tool,Career Advisor,,,
73,When is the next available face-to-face appointment with Heather Lawry?,Career Support / Planning,Appointment availability,Career Advisor,,,
74,I’m applying for the Dame Jocelyn Fish Award and it asks for a referee. Who would be a good referee for an academic scholarship?,Scholarship,Choosing a referee,Career Advisor,,,
75,How do I register as a volunteer for the Volunteer Expo on 27th May?,Volunteering,How to register,Career Advisor,,,
76,How do I record my volunteering or workshop participation for EPA points?,EPA,Recording points,Career Advisor,,,
77,I signed up for the EPA and my status says submitted. Will I be able to create my profile once approved?,EPA,What happens after sign-up,Career Advisor,,,
78,I can’t find Psychology in the employer industry section when looking for internships. What should I select?,Internships,Missing category,Career Advisor,,,
79,I’m not sure what roles suit me after finishing my masters.,Career Planning,Future job direction,Career Advisor,,,
80,I can’t find the CV360 tool even though I followed the instructions.,CV360,Locating CV360,Career Advisor,,,
81,My two-step verification isn’t sending a code and I can’t sign in to university resources.,IT Support,Two-step verification issue,IT Support/front desk support,,,
82,I’m looking for any part-time work.,Job Search,Finding part-time jobs,Career Advisor,,,
83,I need help with my cover letter.,Cover Letter,Cover letter support,Career Advisor,,,
84,"I’m interested in the Diploma in Engineering Management. How does it work if I start with ENGEN272? Do I need to pay for those papers, and how much would they cost? Do I graduate with BE(Hons) first or together with the Diploma? How long does it take to finish?",Program Information / ENGEN272,"Costs, structure, duration",Faculty Advisor/front desk support,,,
85,Can you help me check my CV for an accounting job?,CV Help / Cover Letter,CV review for accounting roles,Career Advisor,,,
86,Are resume templates available to use?,CV Templates,Finding templates,Career Advisor,,,
87,I was told I can add my class rep and community involvement to gain points. How do I add these items?,EPA Points,Recording class rep & community involvement,Career Advisor,,,
88,Where can I find the working link to the online career chat/drop-in session happening right now?,Drop-In Session,Finding correct link,Career Advisor,,,
89,Can I book an online Career Chat from Hamilton if the Career Advisor is in Tauranga?,Online Career Chat,Booking availability,Career Advisor,,,
90,I’m applying for the Security Officer role at the Port of Tauranga. How should I submit my CV and what should I highlight?,CV Help / Job Application,Submitting CV + what to highlight,Career Advisor,,,
91,Can I have an online appointment for paper advice for Semester B year 2 and 3?,Paper Advice,Online appointment request,Student Support,,,
92,I tried booking an appointment for 4th March but there’s no book button. How do I complete the booking?,CV Help / Appointment Booking,Booking issue,Career Advisor,,,
93,I’m applying for business/legal internships and need feedback on my CV. What should I include or remove?,CV Help,CV review for internships,Career Advisor,,,
94,"I signed up for the EPA but couldn’t update it. I’ve done volunteering, class rep work, and workshops—can I still add them, and how do I access my account?",Employability Plus Award,Recovering account + adding past activities,Career Advisor,,,
95,Can I book a meeting to go through my CV?,CV Help,Booking CV review,Career Advisor,,,
96,Can I see a Career Advisor while still studying? How do I book it?,Career Advisor,Booking appointment,Career Advisor,,,
97,"What career options are available after a Master of Education in Counselling Studies, and what are the next steps?",Job Opportunities,Future career direction,Career Advisor,,,
98,Is there a CV template available? I can’t find it.,CV Template,Finding template,Career Advisor,,,
99,I can’t find the videos and Career Plus page anymore.,Career Plus,Missing pages,Career Advisor,,,
100,I can’t find the Workplace Skills Programme tab with the videos.,Workplace Skills Programme,Locating tab,Career Advisor/front desk support,,,
101,Where is the Workplace Skills Programme?,Workplace Skills Programme,Finding programme,Career Advisor/front desk support,,,
102,I can’t find CV360 for internship applications.,CV Help / CV360,Locating CV360,Career Advisor,,,
104,Would you recommend pasting a CV template into ChatGPT so it can help me fill it out?,Using AI for CV,Whether AI can build the CV,Career Advisor,,,
105,I submitted my CV on 27th May but haven’t heard back. When will I get an update?,CV Review Update,CV review response time,Career Advisor,,,
106,Are there any CV workshops available on the Hamilton campus?,CV Workshops,Finding workshops,Career Advisor,,,
107,Can you review my old CV and cover letter for teaching applications?,Teaching CV & Cover Letter,Review request,Career Advisor,,,
108,I have a first draft of my CV and want suggestions to improve it.,CV Review,Improving CV,Career Advisor,,,
109,What is the secondary teacher salary in private schools in Auckland? And what other job websites can I use?,Teacher Salary / Job Search,Salary info + job sites,Career Advisor,,,
110,How do I upload my CV on MyWIL?,MyWIL / CV Upload,Uploading CV,Career Advisor,,,
111,testing,CV test/other,none,career advisor,,,
112,,,,,,,
